date,prc_QTEC,prc_XLK,ret_QTEC,ret_XLK,ret_diff
2011-06-21,0.08881274641446964,0.06554369215345275,0.5730065898481536,0.5628042421596187,-0.008246999999999997
2011-06-22,0.08781550291283095,0.06454302509767486,0.44871115885997903,0.4724761207117417,-0.00042199999999999963
2011-06-23,0.08986865129855769,0.06548809953924285,0.5275699272922609,0.5232153231597522,-0.007207
2011-06-24,0.08687692079364158,0.06309761712821786,0.3979367949581231,0.43633693341945634,0.002984999999999998
2011-06-27,0.08834345535487496,0.06493217339714404,0.5126160410976524,0.5470025945157927,0.0033380000000000007
2011-06-28,0.0897982576396185,0.06665554443765041,0.5119313324203885,0.5434590416529844,0.002537000000000001
2011-06-29,0.09063124927039905,0.06776739672184807,0.49566855560515394,0.5271413776554094,0.002314
2011-06-30,0.09309502733327114,0.06954636037656435,0.5370007490183321,0.5439750580067335,-0.003947000000000001
2011-07-01,0.09561746677859258,0.07188125017337947,0.5374471336808577,0.5574492192997333,-0.00033100000000000143
2011-07-05,0.09561746677859258,0.07210362063021901,0.47437449403433385,0.5040036373740181,0.001531
2011-07-06,0.09544148263124459,0.07277073200073762,0.47004683256035656,0.5150312316191727,0.005731
2011-07-07,0.09811937474005673,0.0745496956554539,0.5403108047785857,0.5424197919335458,-0.005253000000000001
2011-07-08,0.09696667857492729,0.07382699167072539,0.44647923554735086,0.48084424605680515,0.0024870000000000005
2011-07-11,0.09391628668756184,0.07138091664549052,0.4000022697525214,0.4384948199896797,0.0030370000000000015
2011-07-12,0.09082131214953491,0.0701022865186632,0.3974034031156137,0.46659425598019655,0.011511
2011-07-13,0.09092455618264574,0.0704358422039225,0.4769960581964547,0.5068723996203852,0.001633
2011-07-14,0.08851943950222298,0.06921280469130507,0.4133597633404705,0.4677814544444164,0.007622
2011-07-15,0.08998597406345636,0.07076939788918181,0.512188571039471,0.5378875084348828,0.0009250000000000005
2011-07-18,0.08851943950222298,0.07026906436129284,0.4369349261952139,0.4859502820047416,0.006425
2011-07-19,0.09244975212632846,0.07371580644230562,0.5757151611902582,0.5850939835379958,-0.0027860000000000003
2011-07-20,0.09057258788794971,0.07327106552862657,0.4272355170874536,0.4875632841734537,0.009436
2011-07-21,0.0905139265055004,0.07393817689914516,0.4728840232120025,0.5149013254042429,0.004945000000000001
2011-07-22,0.09309502733327114,0.07521680702597248,0.5400346515551588,0.5298116720734115,-0.008674000000000001
2011-07-25,0.09192179968428445,0.07482765872650331,0.44503794269631475,0.4890247290914143,0.005135
2011-07-26,0.09280172042102446,0.0754947700970219,0.4965499761675986,0.5147281171176697,-0.001359
2011-07-27,0.0875808573830336,0.07154769448812016,0.34357243915171787,0.402774219389946,0.008054999999999996
2011-07-28,0.08681825941119224,0.07132532403128063,0.4545860349693206,0.49293995806916063,0.0036960000000000005
2011-07-29,0.0859383386744522,0.07015787913287307,0.4514197302020837,0.4693547630474555,-0.0020030000000000004
2011-08-01,0.08552770899730684,0.07004669390445332,0.4635969524789481,0.49568242260656825,0.002074
2011-08-02,0.0816560577556507,0.06704469273711959,0.37246638874808025,0.42292411672795116,0.006001000000000003
2011-08-03,0.0832985764642321,0.06849010070657659,0.5188048996391094,0.5356358007094323,-0.0014479999999999996
2011-08-04,0.07590724227561581,0.06276406144295858,0.2767584907658902,0.3527819776777821,0.011862999999999999
2011-08-05,0.07432338494948375,0.0619301722298103,0.42969441565221345,0.47636969865366646,0.005684000000000001
2011-08-08,0.0661694527890261,0.05431398408305628,0.24160380713156246,0.29528765205342034,0.005223000000000005
2011-08-09,0.07174228412171298,0.06015120857509405,0.643890961088876,0.6635032097660606,0.0009210000000000051
2011-08-10,0.06716669629066481,0.054925502839364995,0.34116271855825325,0.357206005997337,-0.003935999999999995
2011-08-11,0.07350212559519305,0.059817652889834746,0.6655557489048445,0.6361254749695984,-0.012393000000000001
2011-08-12,0.07438204633193309,0.060768286592823725,0.49965197128006483,0.52424374736128,0.0004580000000000001
2011-08-15,0.07678716301235584,0.06315320974242776,0.543004244437215,0.5626562934148375,-0.0003569999999999997
2011-08-16,0.07490999877397712,0.06215254268664984,0.4217654135110802,0.47202144895948733,0.006574999999999999
2011-08-17,0.07350212559519305,0.061541023930341124,0.43436254000438823,0.482190218783717,0.006063
2011-08-18,0.06534819343473539,0.054981095453574866,0.2401549484387886,0.32296128433944493,0.013274999999999995
2011-08-19,0.06382299749105268,0.05186790905782139,0.42767055298737267,0.410925834376793,-0.011917
2011-08-22,0.06452693408044471,0.052535020428340004,0.4961981645267945,0.5177087430491154,-0.0004399999999999994
2011-08-23,0.07033441094292893,0.05714920740776032,0.6533936583114555,0.630770452109713,-0.010661999999999998
2011-08-24,0.07074504062007426,0.05831665230616788,0.4864609262103456,0.5307679261555338,0.005752999999999999
2011-08-25,0.0681639397923035,0.056426503423031835,0.39864798408146906,0.4466680860123483,0.005660000000000002
