date,XLK,QTEC,beta,spread
2021-02-25,130.0,142.86,0.8909468827958467,2.7193283237853336
2021-02-26,130.69,144.25999,0.8928261606761552,1.8909069891194576
2021-03-01,134.89999,149.36,0.8931686583241604,1.496319192703396
2021-03-02,132.75999,145.67999,0.8962435769898741,2.1952346665509026
2021-03-03,129.42,140.35001,0.9017397818942718,2.860812593741116
2021-03-04,126.56,135.63,0.9087828292635184,3.30178486698901
2021-03-05,128.95,138.17999,0.9137441192870059,2.6888467343626985
2021-03-08,125.83,131.92,0.9234023860227986,4.014757235872423
2021-03-09,130.11,139.015,0.9242227921316255,1.6291685518221186
2021-03-10,129.59,137.35001,0.9273391971293782,2.219952000887943
2021-03-11,132.36,142.39999,0.9244504533169499,0.7182646921708908
2021-03-12,131.41,140.33,0.9250980570015518,1.5909896609722125
2021-03-15,132.81,142.88,0.9230681838190894,0.9220178959285192
2021-03-16,133.81,143.91,0.9219078448571566,1.1382420466065923
2021-03-17,133.7,144.78999,0.9188356972472996,0.6617885839204689
2021-03-18,129.99001,139.37,0.9200929841847049,1.7566507941776877
2021-03-19,129.60001,140.60001,0.9170756560741337,0.6591635852202558
2021-03-22,131.87,143.60001,0.9138866626551528,0.6358661038534308
2021-03-23,131.05,141.72,0.9141532892345927,1.4961958496735406
2021-03-24,129.46001,139.19,0.9161399553575296,1.9424896137854688
2021-03-25,129.38,138.33,0.9192224393500493,2.22395996470766
2021-03-26,132.67,143.13,0.9183819974503168,1.2219847049361476
2021-03-29,131.98,141.61,0.9196450602514838,1.7490630177873356
2021-03-30,130.73,140.88,0.9189900855408086,1.2626767490108648
2021-03-31,132.81,144.2,0.9160859990892447,0.7103989313309285
2021-04-01,135.48,148.38,0.9112796300643623,0.2643284910499233
2021-04-05,138.28,150.97,0.9094307073427124,0.9832461124707095
2021-04-06,137.69,150.06,0.9088996564256955,1.300517556760127
2021-04-07,138.42,149.7,0.9112154412974905,2.011048437765652
2021-04-08,140.42,151.94,0.9125668516848758,1.7645925549999504
2021-04-09,141.77,152.11,0.9163887380262742,2.3781090588234406
2021-04-12,141.09,151.23,0.919062574532739,2.1001668534138958
2021-04-13,142.42,152.53999,0.9210497971684536,1.9230731504220557
2021-04-14,140.91,150.67,0.922799691195791,1.871770527530174
2021-04-15,143.33,153.52,0.9233771295377261,1.5731430733682998
2021-04-16,143.3,152.44,0.9261379879918632,2.119525110520385
2021-04-19,142.11,149.52,0.9315901304151898,2.81864370032082
2021-04-20,140.85001,147.99001,0.9354426255904644,2.41384648444091
2021-04-21,142.27,150.38,0.935857140014173,1.535803284668674
2021-04-22,140.60001,148.60001,0.9361031936643057,1.4950660604522454
2021-04-23,142.7,151.25999,0.9352787585110409,1.2297443404075352
2021-04-26,143.42999,153.39,0.9315958723326346,0.5324991428971941
2021-04-27,143.08,152.42,0.9307294450982773,1.218217978120606
2021-04-28,141.75,151.46001,0.9291078020675119,1.02732300777663
2021-04-29,141.63,151.66,0.9273327068124122,0.9907216848295661
2021-04-30,139.7,148.8,0.9280246630380176,1.6099301399429748
2021-05-03,139.31,146.88,0.9319179652483203,2.4298892643267322
2021-05-04,136.81,144.02,0.9347995267308645,2.1801721602208772
2021-05-05,136.48,143.88,0.9361655889012617,1.7844950688864571
2021-05-06,137.85001,143.73,0.9408394516445212,2.623155615132987
2021-05-07,139.03,145.42999,0.942779701560494,1.9215574298543743
2021-05-10,135.52,140.49001,0.946847976058839,2.497318375013947
2021-05-11,135.11,141.35001,0.9464320745628055,1.3318167962267182
2021-05-12,131.31,136.78999,0.9474556995170553,1.707544337618998
2021-05-13,133.05,137.34,0.9512222169166917,2.409140728661555
2021-05-14,135.98,141.17,0.9518811938405322,1.6029318655320708
2021-05-17,134.98,139.98,0.9526346683414162,1.6301991255685664
2021-05-18,133.89999,139.25,0.952144439592329,1.3138767867681906
2021-05-19,134.37,140.75,0.9493840095346912,0.7442006579922236
2021-05-20,136.94,144.55,0.9449417159428142,0.34867496046618385
2021-05-21,136.19,143.77,0.9421416472852399,0.738295369801051
2021-05-24,138.61,146.64,0.9396311425454305,0.822489257138102
2021-05-25,138.64999,147.17999,0.9368832290329742,0.7595257197591536
2021-05-26,138.64,147.50999,0.9343586018161966,0.8127719896788506
2021-05-27,137.91,146.87,0.9324465714265734,0.9615720545791646
2021-05-28,138.39999,147.75999,0.9303814188319651,0.9268408572030467
2021-06-01,137.72,147.09,0.928945978673229,1.0813359969547491
2021-06-02,138.67,147.41,0.9296785292299494,1.6260880062131378
2021-06-03,137.38,144.94,0.9326497511394647,2.201745069845998
2021-06-04,140.02,148.59,0.9326364109241982,1.4395557007733828
2021-06-07,139.99001,148.45,0.9328810710402419,1.503815004076131
2021-06-08,140.0,148.36,0.9332698385537213,1.5400867521699126
2021-06-09,140.10001,147.88,0.9348862071531386,1.849037686193867
2021-06-10,141.13,150.07001,0.9333469385401452,1.0626155998110391
2021-06-11,141.97,150.89999,0.9325555999620212,1.2473692912869865
2021-06-14,143.41,152.66,0.9315583786657607,1.1982979128849536
2021-06-15,142.53,151.23,0.9320745046274355,1.572372665192944
2021-06-16,141.75999,150.75,0.9315923320315616,1.322445946242084
2021-06-17,143.39999,152.71001,0.9308240348980275,1.2538423224818587
2021-06-18,142.09,151.42,0.9300803921166408,1.2572270256982563
2021-06-21,143.35001,152.3,0.9307181470557445,1.601636203410095
2021-06-22,144.64999,153.81,0.9308504784313794,1.4758779124695423
2021-06-23,144.49001,153.78999,0.930579456479374,1.376204693831653
2021-06-24,145.39999,155.82001,0.927966634300755,0.8042197635900266
2021-06-25,145.23,156.06,0.9253998109551211,0.8121055023437691
2021-06-28,146.75,158.61,0.921732453659524,0.55401552506288
2021-06-29,147.82001,159.82001,0.9194091590926657,0.8800289997185757
2021-06-30,147.66,159.03999,0.9193894292992435,1.440314358142615
2021-07-01,147.91,157.71001,0.9230014964938184,2.3434247579449163
2021-07-02,149.86,158.88,0.9273720905409614,2.5191222548520784
2021-07-06,150.42999,158.96001,0.9312474265824354,2.398889757981806
2021-07-07,151.25,157.89,0.9380690971693101,3.1382702479376405
2021-07-08,149.82001,156.16,0.9427067745921118,2.6069200796958114
2021-07-09,151.2,157.99001,0.9447280009170919,1.9424136878286333
2021-07-12,151.32001,158.25,0.9456455521789021,1.6716013676887371
2021-07-13,151.94,158.00999,0.9482945742144079,2.0999838113271494
2021-07-14,153.06,157.39999,0.9540979078779057,2.8849988409967295
2021-07-15,151.8,155.60001,0.9587659268639032,2.616012192317413
2021-07-16,150.3,153.74001,0.9623437608781285,2.3492605791589085
2021-07-19,148.23,153.13,0.9609066535929058,1.0863641353183198
2021-07-20,150.42999,155.34,0.9601979708392613,1.272837209829163
2021-07-21,151.88,158.24001,0.9564301408706589,0.5344849443254986
2021-07-22,153.0,158.71001,0.9558274401718059,1.3006174120582727
2021-07-23,154.52,160.31,0.9554391881578154,1.3535437464206268
2021-07-26,154.44,159.87,0.9560458644254624,1.5969476543013172
2021-07-27,152.98,157.46001,0.9584827436689686,2.0572975970567597
2021-07-28,152.78999,159.59,0.9544695379259343,0.4661964424001326
2021-07-29,153.5,161.53999,0.9491888805071018,0.16803773477158757
2021-07-30,153.39999,162.74001,0.9429686135013595,-0.05873159089739488
2021-08-02,152.85001,162.89999,0.9375357815346336,0.12544056336599851
2021-08-03,153.83,163.72,0.9347986355067045,0.7847673948423619
2021-08-04,154.14,165.19,0.9305474730267512,0.4228629307109486
2021-08-05,154.99001,165.60001,0.9291755622634456,1.1185275974177955
2021-08-06,154.86,164.67999,0.9301320122032328,1.6858695316917363
2021-08-09,154.36,164.27,0.93041445827527,1.5208169391214028
2021-08-10,153.25,162.27,0.9324127033848899,1.9473906217339163
2021-08-11,153.27,162.52,0.9331042080266521,1.6219041115085133
2021-08-12,154.14999,162.09,0.9366581850590047,2.327064783785943
2021-08-13,154.99001,162.47,0.93999257999164,2.269415528758259
2021-08-16,155.69,161.7,0.9454827221607467,2.8054438266072736
2021-08-17,154.39999,159.71001,0.9502371794254667,2.6376005715869155
2021-08-18,152.27,158.37,0.9510403490446546,1.6537399217980635
2021-08-19,153.75999,159.62,0.9522774731962254,1.757459728418496
2021-08-20,155.74001,160.94,0.9548141330404019,2.0722234284777414
2021-08-23,157.75,164.21001,0.9535933417831239,1.160427809859783
2021-08-24,157.57001,165.38,0.9496828873168025,0.511454095547208
2021-08-25,157.48,165.97,0.9457776789239107,0.5092786289985156
2021-08-26,156.49001,165.39,0.9423908304413312,0.6279905533082513
2021-08-27,158.0,168.14999,0.9376890216856282,0.3276003804518268
2021-08-30,159.7,169.06,0.9370019175183736,1.290455824343752
2021-08-31,158.86,167.37,0.9384056594789362,1.7990447730104506
2021-09-01,158.89999,167.28,0.9395429925537218,1.733238205613418
2021-09-02,158.73,167.72,0.9387980515422721,1.2747907953301194
2021-09-03,159.36,168.78999,0.9374441021265687,1.1288193764975176
2021-09-07,159.39999,168.23,0.9380222507220247,1.596506761033794
2021-09-08,158.78999,166.95,0.9397966754538518,1.8909350329794279
2021-09-09,158.19,167.09,0.9390750882354381,1.2799435067406364
2021-09-10,156.63,166.96001,0.9351470028638295,0.49784705038499055
2021-09-13,156.67999,166.8,0.9333007860514434,1.0054188866192248
2021-09-14,156.48,166.77,0.9317850213714792,1.0862119858783785
2021-09-15,157.85001,168.06,0.9312931598109875,1.3368815621654448
2021-09-16,157.94,168.73,0.9297019477816392,1.0713903508040232
2021-09-17,155.48,166.35001,0.9281704438497933,1.078837383882444
2021-09-20,152.38,162.75,0.9278426704046366,1.373605391645384
2021-09-21,152.44,163.11,0.9269737142245539,1.2413174728330034
2021-09-22,154.53,165.10001,0.92704997599896,1.4740396920719547
2021-09-23,156.60001,166.75999,0.9283979554708783,1.7803762296559
2021-09-24,156.71001,166.95,0.9290296707188149,1.6085064734938612
2021-09-27,155.19,165.42999,0.929139804909721,1.4824113651828839
2021-09-28,150.59,159.39,0.9316483929780601,2.0945626432270217
2021-09-29,150.39999,157.5,0.937030083826176,2.8177517973772694
2021-09-30,149.32001,157.8,0.9370265904832911,1.457214021736661
2021-10-01,151.57001,158.53999,0.9408665487452004,2.4050367706014413
2021-10-04,148.06,154.08,0.9448625712254255,2.475575025586437
2021-10-05,150.17,156.17,0.9477160263373264,2.165188166899725
2021-10-06,151.14999,157.25,0.9493585736772358,1.863354289254687
2021-10-07,152.53,159.14999,0.9493084474935212,1.447570074490585
2021-10-08,151.96001,157.95,0.9506826855482869,1.799679817648098
2021-10-11,151.12,157.0,0.9516760279780507,1.7068636074460528
2021-10-12,150.34,156.66,0.9511591651219026,1.3314051920027623
2021-10-13,151.25999,158.99001,0.9476232009936293,0.597367797790838
2021-10-14,154.67,162.53,0.9456159686683765,0.9790366123287413
2021-10-15,155.91,163.09,0.946180677678736,1.5973932773749198
